Product_ID,Product_Name,Category,Price,Units_Sold,Revenue,Rating,Return_Rate,Seller_Name,High_Return_Flag,Predicted_Return_Probability
Product_1,Max Product_1,Toys,358.65,983,352552.95,3.63,0.16,Seller_B,0,0.26267121814371075
Product_2,Pro Product_2,Home & Kitchen,248.0,79,19592.0,1.23,0.2,Seller_E,0,0.22464258237486734
Product_3,Eco Product_3,Automotive,148.12,206,30512.72,2.09,0.05,Seller_D,0,0.26335768097319834
Product_4,Super Product_4,Electronics,15.76,585,9219.6,3.69,0.05,Seller_D,0,0.2189766434630262
Product_5,Ultra Product_5,Home & Kitchen,20.84,401,8356.84,2.01,0.15,Seller_B,0,0.11672905985564502
Product_6,Ultra Product_6,Home & Kitchen,384.86,298,114688.28,4.03,0.01,Seller_A,0,0.2475779132267422
Product_7,Max Product_7,Automotive,373.36,851,317729.36,2.4,0.06,Seller_E,0,0.3731308801276738
Product_8,Max Product_8,Electronics,38.4,839,32217.6,1.15,0.24,Seller_C,1,0.2770324382671998
Product_9,Eco Product_9,Clothing,141.06,467,65875.02,3.25,0.27,Seller_E,1,0.3425202796418583
Product_10,Max Product_10,Home & Kitchen,170.67,953,162648.51,3.19,0.27,Seller_A,1,0.154844059846096
Product_11,Max Product_11,Books,16.68,434,7239.12,4.67,0.08,Seller_A,0,0.24065703550688303
Product_12,Pro Product_12,Books,93.58,852,79730.16,3.51,0.16,Seller_E,0,0.2454917538483792
Product_13,Ultra Product_13,Clothing,158.33,458,72515.14,4.26,0.15,Seller_A,0,0.3281321511204435
Product_14,Super Product_14,Clothing,219.38,312,68446.56,3.1,0.21,Seller_D,1,0.28250987907850655
Product_15,Ultra Product_15,Toys,316.07,672,212399.04,2.58,0.25,Seller_A,1,0.313248826175302
Product_16,Ultra Product_16,Automotive,214.53,863,185139.39,3.39,0.23,Seller_B,1,0.2529516066621116
Product_17,Super Product_17,Beauty,459.01,258,118424.58,2.77,0.12,Seller_E,0,0.5852485366896433
Product_18,Pro Product_18,Beauty,279.53,552,154300.56,1.26,0.06,Seller_C,0,0.5023966915624197
Product_19,Eco Product_19,Books,280.92,21,5899.32,3.51,0.19,Seller_A,0,0.3273258227184832
Product_20,Super Product_20,Sports,322.92,55,17760.6,1.05,0.07,Seller_B,0,0.39165066140098614
Product_21,Super Product_21,Clothing,438.14,883,386877.62,3.65,0.12,Seller_B,0,0.3096863372619289
Product_22,Eco Product_22,Books,288.88,698,201638.24,3.43,0.16,Seller_E,0,0.30765165128983135
Product_23,Eco Product_23,Books,142.44,213,30339.72,4.84,0.28,Seller_B,1,0.24146998722242838
Product_24,Super Product_24,Clothing,150.08,581,87196.48,4.25,0.18,Seller_B,0,0.26289308084729485
Product_25,Eco Product_25,Clothing,46.12,944,43537.28,1.57,0.02,Seller_B,0,0.18503892991805976
Product_26,Pro Product_26,Beauty,454.86,611,277919.46,1.53,0.24,Seller_D,1,0.42366821232791635
Product_27,Super Product_27,Beauty,281.27,201,56535.27,2.15,0.26,Seller_E,1,0.5221698023662508
Product_28,Ultra Product_28,Books,388.47,488,189573.36,4.93,0.26,Seller_E,1,0.37734150688102114
Product_29,Max Product_29,Toys,108.75,260,28275.0,3.36,0.02,Seller_C,0,0.3583392234359895
Product_30,Max Product_30,Home & Kitchen,493.53,229,113018.37,4.08,0.27,Seller_A,1,0.281275713853821
Product_31,Super Product_31,Beauty,186.94,877,163946.38,4.22,0.18,Seller_D,0,0.3577946237663813
Product_32,Ultra Product_32,Beauty,286.51,533,152709.83,1.83,0.05,Seller_D,0,0.3817598230938532
Product_33,Super Product_33,Books,189.34,421,79712.14,4.0,0.19,Seller_A,0,0.2769999714061662
Product_34,Eco Product_34,Beauty,361.88,291,105307.08,4.14,0.08,Seller_D,0,0.46547532814806303
Product_35,Eco Product_35,Home & Kitchen,117.23,153,17936.19,1.13,0.12,Seller_C,0,0.20865382784602152
Product_36,Eco Product_36,Automotive,307.68,660,203068.8,2.03,0.11,Seller_D,0,0.27071707594904987
Product_37,Max Product_37,Books,6.91,413,2853.83,2.92,0.01,Seller_E,0,0.24743800708800454
Product_38,Pro Product_38,Home & Kitchen,388.47,296,114987.12,2.27,0.03,Seller_B,0,0.18554823553310817
Product_39,Ultra Product_39,Home & Kitchen,365.68,348,127256.64,1.21,0.1,Seller_D,0,0.16563352824443
Product_40,Eco Product_40,Books,170.87,799,136525.13,4.73,0.04,Seller_A,0,0.2540192099206702
Product_41,Eco Product_41,Beauty,352.22,584,205696.48,2.36,0.13,Seller_A,0,0.47389149952868337
Product_42,Max Product_42,Toys,409.26,612,250467.12,2.47,0.14,Seller_D,0,0.2848726923747844
Product_43,Ultra Product_43,Toys,455.81,792,361001.52,4.46,0.01,Seller_E,0,0.4104224661058109
Product_44,Eco Product_44,Toys,58.4,323,18863.2,4.74,0.15,Seller_A,0,0.2987835841086679
Product_45,Eco Product_45,Sports,199.9,915,182908.5,1.12,0.02,Seller_A,0,0.3396447856494277
Product_46,Super Product_46,Books,57.95,554,32104.3,2.75,0.02,Seller_E,0,0.2481135956184634
Product_47,Super Product_47,Sports,363.8,35,12733.0,2.21,0.01,Seller_D,0,0.42078836401487285
Product_48,Ultra Product_48,Clothing,142.03,208,29542.24,3.43,0.0,Seller_C,0,0.39458981292506173
